"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Data/Scripts/Content/Story/Text.d:417","Open Locks","Open Locks","","","NAME_SPL_Picklock","",""
"Data/Scripts/Content/Story/Text.d:418","Mana per combination","Mana per combination","","","NAME_ManaPerCombination","",""
"Data/Scripts/Content/Story/Text.d:419","Not enough mana","Not enough mana","","","PRINT_LockIsTooComplex","",""
"Data/Scripts/Content/Story/Text.d:763","Non-lethal Scroll","(Non-lethal) Scroll","","False","GMM_Non_Lethal_Scroll","",""
"Data/Scripts/Content/Story/Text.d:764","Non-lethal, Circle:","(Non-lethal) Circle:","","False","GMM_Non_Lethal_Circle","",""
"Data/Scripts/Content/Story/Text.d:765","Temporarily incapacitates target.","Temporarily incapacitates target.","","","GMM_Temp_stun","",""
"Data/Scripts/Content/Story/Text.d:766","Stops enemy attacks and makes them flee.","Stops enemy attacks and makes them flee.","","","GMM_Fear_Description","",""
"Data/Scripts/Content/Story/Text.d:767","Steals life energy from human targets.","Steals life energy from human targets.","","","GMM_SuckEnergy_Description","",""
"Data/Scripts/Content/Story/Text.d:768","Temporarily incapacitates human target.","Temporarily incapacitates human target.","","","GMM_Swarm_Description","",""
"Data/Scripts/Content/Story/Text.d:770","+ 1 Learning Point","+ 1 Learning Point","","","PRINT_1_LP","",""
"Data/Scripts/Content/Story/Text.d:771","+ 2 Learning Points","+ 2 Learning Points","","","PRINT_2_LP","",""
"Data/Scripts/Content/Story/Text.d:772","+ 3 Learning Points","+ 3 Learning Points","","","PRINT_3_LP","",""
"Data/Scripts/Content/Story/Text.d:773","+ 4 Learning Points","+ 4 Learning Points","","","PRINT_4_LP","",""
"Data/Scripts/Content/Story/Text.d:774","+ 5 Learning Points","+ 5 Learning Points","","","PRINT_5_LP","",""
"Data/Scripts/Content/Story/Text.d:775","Exchange Runes","Exchange Runes","","","Exchange_Rune_Name","",""
"Data/Scripts/Content/Story/Text.d:776","Circle 1","Circle 1","","","Circle_1","",""
"Data/Scripts/Content/Story/Text.d:777","Circle 2","Circle 2","","","Circle_2","",""
"Data/Scripts/Content/Story/Text.d:778","Circle 3","Circle 3","","","Circle_3","",""
"Data/Scripts/Content/Story/Text.d:779","Circle 4","Circle 4","","","Circle_4","",""
"Data/Scripts/Content/Story/Text.d:780","Circle 5","Circle 5","","","Circle_5","",""
"Data/Scripts/Content/Story/Text.d:781","Circle 6","Circle 6","","","Circle_6","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:373","Mana essence (2 fire nettles, 1 meadow knotweed)","Mana essence (2 Fire Nettles, 1 Woodland Berry)","","False","PC_ItPo_Mana_01.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:416","Mana extract (2 Fireweeds, 1 Blue Elder) ","Mana extract (2 Fireweeds, 1 Blue Elder)","","False","PC_ItPo_Mana_02.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:459","Mana elixir (2 Fire Roots, 1 Meadow Knotweed)","Mana elixir (2 Fire Roots, 1 Meadow Knotweed)","","","PC_ItPo_Mana_03.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:500","Mana potion (3 Mana Essences, 1 Meadow Knotweed)","Full Mana (3 Mana Essences, 1 Meadow Knotweed)","","False","PC_ItPo_Mana_04.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:599","Essence of healing (2 Healing Plants, 1 Woodland Berry)","Essence of healing (2 Healing Plants, 1 Woodland Berry)","","","PC_ItPo_Health_01.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:642","Extract of healing (2 Healing Herbs, 1 Blue Plant)","Extract of healing (2 Healing Herbs, 1 Blue Elder)","","False","PC_ItPo_Health_02.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:878","Elixir of Life (1 Healing Root, 1 King's Sorrel, 1 Meadow Knotweed)","Elixir of Life (1 Healing Root, 1 King's Sorrel, 1 Meadow Knotweed)","","","PC_ItPo_Perm_Health.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:921","Elixier of Spirit (1 Fire Root, 1 King's Sorrel, Meadow Knotweed)","Elixir of Spirit (1 Fire Root, 1 King's Sorrel, 1 Meadow Knotweed)","","False","PC_ItPo_Perm_Mana.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:964","Potion of Dexterity (1 Goblin Berry, 1 King's Sorrel, Meadow Knotweed)","Potion of Dexterity (1 Goblin Berry, 1 King's Sorrel, 1 Meadow Knotweed)","","False","PC_ItPo_Dex.description","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:1007","Potion of strength (1 Dragonroot, 1 King's Sorrel, Meadow Knotweed)","Potion of Strength (1 Dragonroot, 1 King's Sorrel, 1 Meadow Knotweed)","","False","PC_ItPo_Strg.description","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:43","Wand of Rejuvenation","Wand of Rejuvenation","","","ItMW_GMM_Stab_02_Regen.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:67","Mana regeneration per second:","Mana regeneration per second:","","","ItMW_GMM_Stab_02_Regen.TEXT[4]","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:158","Wand of Efficiency","Wand of Efficiency","","","ItMW_GMM_Stab_03_Eff.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:182","Spells cost 35% mana less to cast.","Spells cost 35% mana less to cast.","","","ItMW_GMM_Stab_03_Eff.TEXT[4]","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:192","Summoner's Wand","Summoner's Wand","","","ItMW_GMM_Stab_04_Summon.name","",""
